,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
49,Eric Decker,DEN,23,,14,0,,,,,,22,556,0,51,25.3,662
50,Jordy Nelson,GNB,25,wr,16,4,,,,,,22,496,0,51,22.5,1081
51,Julian Edelman,NWE,24,wr,15,3,21,321,1,94,15.3,,,,,,421
52,Brandon James,IND,23,,3,0,7,35,0,14,5.0,14,229,0,26,16.4,304
53,Jim Leonhard,NYJ,28,S,11,11,21,238,0,32,11.3,,,,,,239
54,David Reed,BAL,23,,13,0,,,,,,21,616,1,103,29.3,631
55,Sam Shields,GNB,23,cb/db,14,6,0,-1,0,-1,,21,452,0,49,21.5,451
56,Danny Ware,NYG,25,,14,0,,,,,,21,432,0,37,20.6,572
57,Lardarius Webb,BAL,25,,15,0,21,199,0,35,9.5,,,,,,231
58,DeSean Jackson*,PHI,24,WR,14,14,20,231,1,65,11.6,,,,,,1391
59,Leodis McKelvin,BUF,25,cb/LCB,16,14,6,24,0,25,4.0,14,265,0,49,18.9,299
60,Tom Zbikowski,BAL,25,fs,8,6,16,101,0,20,6.3,3,48,0,20,16.0,149
61,,,,,,,,,,,,,,,,,
62,Lorenzo Booker,MIN,26,,4,0,,,,,,18,429,0,49,23.8,461
63,Johnnie Lee Higgins,OAK,27,wr,13,1,17,123,0,53,7.2,,,,,,226
64,Golden Tate,SEA,22,,11,0,16,202,0,63,12.6,1,10,0,10,10.0,443
65,Kyle Wilson,NYJ,23,cb/db,16,6,15,111,0,18,7.4,2,22,0,15,11.0,133
66,Mardy Gilyard,STL,24,wr,11,2,,,,,,16,356,0,34,22.3,419
67,Ellis Hobbs,PHI,27,cb/rcb,8,7,,,,,,16,345,0,46,21.6,345
68,Demaryius Thomas,DEN,23,wr,10,2,,,,,,16,398,0,65,24.9,682
69,Reggie Bush,NOR,25,rb,8,6,14,92,0,43,6.6,1,32,0,32,32.0,482
70,Devin Thomas,3TM,24,,9,0,,,,,,15,399,0,42,26.6,399
71,Antoine Cason,SDG,24,RCB,16,15,14,231,0,62,16.5,,,,,,282
72,Antwaan Randle El,PIT,31,,16,0,14,56,0,15,4.0,,,,,,311
73,Justin Tryon,IND,26,db/lcb/rcb,12,6,,,,,,14,299,0,39,21.4,299
74,Pat Lee,GNB,26,cb/k,11,1,,,,,,13,265,0,30,20.4,265
75,Perrish Cox,DEN,23,lcb/RCB,15,9,3,7,0,4,2.3,9,172,0,30,19.1,194
76,Adam Jones,CIN,27,lcb,5,1,5,33,0,27,6.6,7,134,0,29,19.1,236
77,Devin Moore,IND,25,,4,0,,,,,,12,257,0,33,21.4,255
78,Roscoe Parrish,BUF,28,wr,8,6,12,131,0,33,10.9,,,,,,558
79,Dominic Rhodes,IND,31,,3,0,,,,,,12,252,0,27,21.0,428
80,Kenny Moore,IND,25,,2,0,6,36,0,16,6.0,5,102,0,27,20.4,138
81,Lance Moore,NOR,27,wr,16,1,11,112,0,72,10.2,,,,,,875
82,Preston Parker,TAM,23,,9,0,,,,,,10,178,0,37,17.8,227
83,Clifton Smith,2TM,25,,4,0,2,9,0,6,4.5,8,144,0,26,18.0,153
84,Blair White,IND,23,wr,13,4,10,80,0,18,8.0,,,,,,435
85,David Gettis,CAR,23,WR,15,13,,,,,,9,159,0,28,17.7,669
86,Jordan Pugh,CAR,22,fs,15,2,,,,,,9,218,0,32,24.2,216
87,Jerricho Cotchery,NYJ,28,wr,14,5,8,66,0,19,8.3,,,,,,496
88,Johnny Knox,CHI,24,WR,16,16,,,,,,8,182,0,42,22.8,1144
89,Jerraud Powers,IND,23,RCB,10,10,8,63,0,13,7.9,,,,,,74
90,Steve Breaston,ARI,27,WR,13,11,,,,,,7,162,0,27,23.1,915
91,Chad Hall,PHI,24,wr,8,1,3,31,0,14,10.3,4,65,0,21,16.3,240
92,,,,,,,,,,,,,,,,,
93,Mike Sellers,WAS,35,fb/te,16,8,,,,,,7,82,0,18,11.7,308
94,Pierre Thomas,NOR,26,rb,6,3,,,,,,7,154,0,32,22.0,624
95,Kyle Williams,SFO,22,,5,0,3,16,0,9,5.3,4,82,0,30,20.5,99
96,Mike Bell,2TM,27,,16,1,,,,,,6,63,0,31,10.5,229
97,Rock Cartwright,OAK,31,,16,0,,,,,,6,103,0,28,17.2,135
98,Antonio Cromartie,NYJ,26,CB,15,15,5,36,0,16,7.2,1,-6,0,-6,-6.0,105
99,Yamon Figurs,2TM,27,,2,0,1,10,0,10,10.0,5,105,0,25,21.0,128
100,Devery Henderson,NOR,28,WR,16,11,,,,,,6,142,0,27,23.7,614
101,Donald Jones,BUF,23,wr,15,5,,,,,,6,120,0,31,20.0,334
102,Kevin Ogletree,DAL,23,,6,0,,,,,,6,109,0,31,18.2,143
103,Aaron Ross,NYG,28,cb,15,1,6,37,0,14,6.2,,,,,,37
104,Steve Smith,CAR,31,WR,14,14,6,46,0,32,7.7,,,,,,609
105,Josh Wilson,BAL,25,lcb/RCB,14,9,,,,,,6,117,0,26,19.5,129
106,Cornelius Brown,IND,22,,10,0,,,,,,5,102,0,23,20.4,102
107,Alge Crumpler,NWE,33,TE,16,10,,,,,,5,18,0,7,3.6,70
108,Rashied Davis,CHI,31,,16,0,,,,,,5,70,0,32,14.0,154
109,Max Komar,ARI,23,,8,0,5,31,0,9,6.2,,,,,,148
110,Joe McKnight,NYJ,22,rb,9,1,2,43,0,25,21.5,3,60,0,28,20.0,312
111,Cameron Morrah,SEA,23,te/wr,15,3,,,,,,5,76,0,30,15.2,193
112,Sammy Morris,NWE,33,,16,0,,,,,,5,66,0,23,13.2,199
113,Delanie Walker,SFO,26,fb/te,14,8,,,,,,5,70,0,20,14.0,419
114,Wes Welker*,NWE,29,k/WR,15,11,5,36,0,22,7.2,,,,,,884
115,Phillip Adams,SFO,22,,15,0,4,29,0,16,7.3,,,,,,29
116,David Anderson,HOU,27,wr,12,1,4,26,0,17,6.5,,,,,,143
117,Marcus Benard,CLE,25,lb,15,2,,,,,,4,26,0,11,6.5,26
118,Andre Caldwell,CIN,25,wr,15,5,1,0,0,0,0.0,3,79,0,32,26.3,422
119,Chris Carr,BAL,27,cb/LCB,16,16,3,8,0,10,2.7,1,14,0,14,14.0,35
120,Heath Evans,NOR,32,fb,16,6,,,,,,4,45,0,13,11.3,88
121,Justin Forsett,SEA,25,rb,16,5,3,17,0,12,5.7,1,8,0,8,8.0,800
122,Joe Haden,CLE,21,cb/lcb,16,7,,,,,,4,96,0,32,24.0,197
123,,,,,,,,,,,,,,,,,
124,Jerome Harrison,2TM,27,,12,2,,,,,,4,32,0,10,8.0,447
125,Santonio Holmes,NYJ,26,WR,12,10,4,40,0,14,10.0,,,,,,803
126,Jeremy Maclin,PHI,22,WR,16,16,3,17,0,9,5.7,1,22,0,22,22.0,1039
127,Jerious Norwood,ATL,27,,2,0,,,,,,4,97,0,34,24.3,114
128,Isaac Redman,PIT,26,,16,0,,,,,,4,81,0,21,20.3,394
129,Sammie Stroughter,TAM,24,wr,12,4,1,0,0,0,0.0,3,79,0,30,26.3,320
130,Keith Toston,STL,23,,16,0,,,,,,4,75,0,20,18.8,158
131,Verran Tucker,KAN,22,wr,11,2,,,,,,4,73,0,24,18.3,187
132,Raymond Ventrone,CLE,28,,16,0,,,,,,4,47,0,17,11.8,47
133,Bernard Berrian,MIN,30,WR,14,9,3,2,0,2,0.7,,,,,,246
134,Tashard Choice,DAL,26,,16,0,,,,,,3,61,0,27,20.3,413
135,John Conner,NYJ,23,,16,0,,,,,,3,35,0,18,11.7,88
136,Dan Connolly,NWE,28,lg/rg,14,13,,,,,,3,90,0,71,30.0,90
137,Patrick Crayton,SDG,31,wr,9,2,2,23,0,13,11.5,1,31,0,31,31.0,568
138,Jacob Hester,SDG,25,fb,15,7,,,,,,3,25,0,13,8.3,230
139,Javarris James,IND,23,,10,0,,,,,,3,16,0,16,5.3,191
140,Spencer Larsen,DEN,26,fb,11,5,,,,,,3,44,0,19,14.7,113
141,Vonta Leach*+,HOU,29,fb,16,5,,,,,,3,40,0,26,13.3,131
142,Mewelde Moore,PIT,28,,15,0,,,,,,3,47,0,17,15.7,351
143,Ed Reed*+,BAL,32,FS,10,10,3,11,0,9,3.7,,,,,,194
144,Syd'Quan Thompson,DEN,23,,13,0,3,18,0,10,6.0,,,,,,38
145,Chris Wilson,WAS,28,,16,0,,,,,,3,27,0,15,9.0,27
146,Lance Ball,DEN,25,,10,0,,,,,,2,33,0,18,16.5,207
147,Phillip Buchanon,WAS,30,rcb,16,5,2,1,0,1,0.5,,,,,,52
148,Jehuu Caulcrick,BUF,27,,2,0,,,,,,2,28,0,17,14.0,30
149,Terrance Copper,KAN,28,wr,16,3,,,,,,2,26,0,17,13.0,183
150,Jeff Dugan,MIN,29,te,16,4,,,,,,2,8,0,5,4.0,40
151,Armanti Edwards,CAR,22,,3,0,2,0,0,0,0.0,,,,,,7
152,Jerome Felton,DET,24,fb/rb,16,2,,,,,,2,59,0,37,29.5,189
153,Chris Gronkowski,DAL,24,fb,14,7,,,,,,2,23,0,13,11.5,75
154,,,,,,,,,,,,,,,,,
155,Ahmard Hall,TEN,31,fb,16,4,,,,,,2,21,0,15,10.5,122
156,Gerard Lawson,PHI,25,,1,0,,,,,,2,48,0,28,24.0,48
157,Dwight Lowery,NYJ,24,s,14,3,,,,,,2,26,0,14,13.0,115
158,Josh Morgan,SFO,25,WR,16,11,,,,,,2,19,0,13,9.5,734
159,Lousaka Polite,MIA,29,FB,16,10,,,,,,2,10,0,10,5.0,133
160,Tracy Porter,NOR,24,RCB,12,12,2,6,0,4,3.0,,,,,,13
161,Naaman Roosevelt,BUF,23,wr,6,1,,,,,,2,31,0,16,15.5,173
162,Owen Schmitt,PHI,25,fb,15,5,,,,,,2,18,0,18,9.0,154
163,Chad Simpson,WAS,25,,3,0,,,,,,2,59,0,32,29.5,59
164,Stephen Spach,ARI,28,fb/TE,15,11,,,,,,2,26,0,15,13.0,66
165,James Starks,GNB,24,,3,0,,,,,,2,25,0,17,12.5,141
166,Chansi Stuckey,CLE,27,wr,16,5,2,5,0,5,2.5,,,,,,360
167,Tyrell Sutton,CAR,24,,9,0,,,,,,2,30,0,18,15.0,171
168,Cassius Vaughn,DEN,23,,13,0,,,,,,2,125,1,97,62.5,125
169,Lawrence Vickers,CLE,27,fb,16,4,,,,,,2,13,0,10,6.5,39
170,Byron Westbrook,WAS,25,,16,0,,,,,,2,6,0,6,3.0,6
171,Jason Wright,ARI,28,rb,15,1,,,,,,2,8,0,8,4.0,78
172,C.J. Ah You,STL,28,,16,0,,,,,,1,16,0,16,16.0,16
173,Jonathon Amaya,MIA,22,,10,0,1,0,0,0,0.0,,,,,,0
174,Terrence Austin,WAS,22,,5,0,,,,,,1,15,0,15,15.0,62
175,Jackie Battle,KAN,27,,16,0,,,,,,1,0,0,0,0.0,59
176,Ladell Betts,NOR,31,rb,8,1,,,,,,1,23,0,23,23.0,314
177,Brock Bolen,JAX,25,,4,0,,,,,,1,5,0,5,5.0,20
178,Tyron Brackenridge,JAX,26,,16,0,1,1,0,1,1.0,,,,,,1
179,Tyvon Branch,OAK,24,s/SS,16,16,1,-4,0,-4,-4.0,,,,,,87
180,Curtis Brinkley,SDG,25,,3,0,,,,,,1,29,0,29,29.0,40
181,Jasper Brinkley,MIN,25,,16,0,,,,,,1,2,0,2,2.0,2
182,Eldra Buckley,PHI,25,,16,0,,,,,,1,20,0,20,20.0,97
183,Nate Burleson,DET,29,WR,14,14,,,,,,1,0,0,0,0.0,706
184,Brent Celek,PHI,25,TE,16,15,,,,,,1,12,0,12,12.0,523
185,,,,,,,,,,,,,,,,,
186,Scott Chandler,2TM,25,,13,1,,,,,,1,11,0,11,11.0,19
187,Marquice Cole,NYJ,27,cb,12,1,1,-5,0,-5,-5.0,,,,,,44
188,Jared Cook,TEN,23,te,16,1,,,,,,1,3,0,3,3.0,366
189,Michael Crabtree,SFO,23,WR,16,15,,,,,,1,0,0,0,0.0,741
190,James Davis,2TM,24,,7,0,,,,,,1,11,0,11,11.0,116
191,Kellen Davis,CHI,25,te,16,3,,,,,,1,2,0,2,2.0,21
192,Thomas DeCoud,ATL,25,S,16,16,1,0,0,0,0.0,,,,,,0
193,Donald Driver,GNB,35,WR,15,15,,,,,,1,0,0,0,0.0,565
194,Chris Ellis,BUF,25,lb,5,1,,,,,,1,0,0,0,0.0,0
195,Brian Finneran,ATL,34,wr,16,1,,,,,,1,18,0,18,18.0,184
196,Dane Fletcher,NWE,24,,13,0,,,,,,1,0,0,0,0.0,0
197,Drayton Florence,BUF,30,cb/RCB,16,16,1,6,0,6,6.0,,,,,,75
198,Andre Fluellen,DET,25,,16,0,,,,,,1,4,0,4,4.0,4
199,Eric Foster,IND,25,,16,0,,,,,,1,12,0,12,12.0,12
200,Justin Gage,TEN,29,wr,11,4,,,,,,1,2,0,2,2.0,268
201,Chris Gocong,CLE,27,LB,16,16,,,,,,1,5,0,5,5.0,5
202,Larry Grant,STL,25,LB,16,8,,,,,,1,8,0,8,8.0,8
203,BenJarvus Green-Ellis,NWE,25,RB,16,11,,,,,,1,0,0,0,0.0,1093
204,Tyjuan Hagler,IND,29,lb,13,2,,,,,,1,41,1,41,41.0,76
205,Leon Hall,CIN,26,RCB,16,16,,,,,,1,29,0,29,29.0,48
206,Clay Harbor,PHI,23,te,9,6,,,,,,1,19,0,19,19.0,91
207,Jason Hill,2TM,25,,8,1,,,,,,1,30,0,30,30.0,278
208,Jesse Holley,DAL,26,,12,0,1,2,0,2,2.0,,,,,,2
209,Michael Huff,OAK,27,FS/s,16,15,,,,,,1,0,0,0,0.0,32
210,Mike Karney,STL,29,fb,12,5,,,,,,1,17,0,17,17.0,43
211,Reggie Kelly,CIN,33,TE,16,14,,,,,,1,8,0,8,8.0,50
212,Jimmy Kennedy,MIN,31,,9,0,,,,,,1,0,0,0,0.0,0
213,Jeff King,CAR,27,TE/wr,16,16,,,,,,1,11,0,11,11.0,132
214,John Kuhn,GNB,28,fb/rb,16,2,,,,,,1,8,0,8,8.0,386
215,Elbert Mack,TAM,24,,12,0,1,0,0,0,0.0,,,,,,0
216,,,,,,,,,,,,,,,,,
217,Turk McBride,DET,25,DE,15,8,,,,,,1,8,0,8,8.0,8
218,Anthony McCoy,SEA,23,,2,0,,,,,,1,3,0,3,3.0,3
219,Sherrick McManis,HOU,23,,14,0,,,,,,1,25,0,25,25.0,26
220,Brit Miller,STL,24,fb,9,2,,,,,,1,0,0,0,0.0,0
221,Zach Miller,JAX,26,te,15,5,,,,,,1,22,0,22,22.0,247
222,Earl Mitchell,HOU,23,,15,0,,,,,,1,0,0,0,0.0,0
223,Antwaun Molden,HOU,25,,14,0,1,0,0,0,0.0,,,,,,0
224,Marlon Moore,MIA,23,,9,0,,,,,,1,34,0,34,34.0,178
225,Ovie Mughelli*,ATL,30,fb,16,6,,,,,,1,6,0,6,6.0,168
226,Matthew Mulligan,NYJ,25,te,13,1,,,,,,1,8,0,8,8.0,8
227,Brandon Myers,OAK,25,te,15,3,1,0,0,0,0.0,,,,,,80
228,Terence Newman,DAL,32,LCB,16,16,,,,,,1,9,0,9,9.0,26
229,Hakeem Nicks,NYG,22,WR,13,12,,,,,,1,14,0,14,14.0,1066
230,Moran Norris,SFO,32,FB/te,16,11,,,,,,1,12,0,12,12.0,32
231,Eric Norwood,CAR,22,,15,0,,,,,,1,17,0,17,17.0,17
232,Jake O'Connell,KAN,25,te,15,2,,,,,,1,5,0,5,5.0,36
233,Cyril Obiozor,2TM,24,,8,0,,,,,,1,0,0,0,0.0,0
234,Kassim Osgood,JAX,30,wr,16,3,1,0,0,0,0.0,,,,,,59
235,Montell Owens*,JAX,26,,16,0,,,,,,1,22,0,22,22.0,22
236,Dimitri Patterson,PHI,27,k/RCB,16,9,,,,,,1,14,0,14,14.0,54
237,Jason Pierre-Paul,NYG,21,,16,0,,,,,,1,12,0,12,12.0,12
238,Zach Potter,JAX,24,te,13,1,,,,,,1,15,0,15,15.0,39
239,Marcel Reece,OAK,25,FB,16,10,,,,,,1,7,0,7,7.0,462
240,Dominique Rodgers-Cromartie,ARI,24,LCB,16,16,1,0,0,0,0.0,,,,,,86
241,Martin Rucker,DAL,25,te,5,1,,,,,,1,16,0,16,16.0,16
242,Tony Scheffler,DET,27,te,15,4,,,,,,1,0,0,0,0.0,378
243,Bryan Scott,BUF,29,s,15,1,1,0,0,0,0.0,,,,,,17
244,Maurice Simpkins,GNB,27,,2,0,,,,,,1,0,0,0,0.0,0
245,Walter Thurmond,SEA,23,rcb,14,1,1,0,0,0,0.0,,,,,,0
246,Robert Turner,NYJ,26,,16,0,,,,,,1,11,0,11,11.0,11
247,,,,,,,,,,,,,,,,,
248,Matt Ware,ARI,28,,14,0,1,0,0,0,0.0,,,,,,0
249,Joe Webb,MIN,24,qb,5,2,,,,,,1,30,0,30,30.0,150
250,Ernest Wilford,JAX,31,,2,0,,,,,,1,0,0,0,0.0,3
251,Matt Wilhelm,GNB,29,,7,0,,,,,,1,3,0,3,3.0,3
252,Jamar Williams,CAR,26,lb,3,0,1,0,0,0,0.0,,,,,,0
253,Stephen Williams,ARI,24,wr,11,3,,,,,,1,14,0,14,14.0,115
254,Tony Wragge,SFO,31,,15,0,,,,,,1,12,0,12,12.0,12
255,Albert Young,MIN,25,,3,0,,,,,,1,25,0,25,25.0,65
