,Player,Tm,Age,Pos,G,GS,Ret,Yds,TD,Lng,Y/R,Rt,Yds,TD,Lng,Y/Rt,APYd
57,Devin Thomas,WAS,23,WR,14,10,,,,,,20,439,0,39,22.0,762
58,Victor Harris,PHI,23,cb/fs,15,8,,,,,,19,394,0,32,20.7,394
59,Alvin Pearman,TEN,27,,5,0,11,112,0,18,10.2,8,174,0,27,21.8,286
60,Michael Robinson,SFO,26,,15,0,,,,,,18,414,0,40,23.0,440
61,,,,,,,,,,,,,,,,,
62,Gary Russell,OAK,23,fb,12,4,,,,,,18,330,0,41,18.3,426
63,Leon Washington,NYJ,27,,7,0,2,16,0,12,8.0,16,385,0,43,24.1,863
64,Julian Edelman,NWE,23,wr,11,7,6,63,0,35,10.5,11,241,0,32,21.9,668
65,Mike Goodson,CAR,22,,8,0,,,,,,17,352,0,33,20.7,416
66,Sinorice Moss,NYG,26,,8,0,11,74,0,16,6.7,6,109,0,29,18.2,201
67,Antwaan Randle El,WAS,30,wr,16,3,17,102,0,43,6.0,,,,,,632
68,Earl Bennett,CHI,22,WR,16,15,14,143,1,49,10.2,2,40,0,22,20.0,900
69,Patrick Cobbs,MIA,26,,5,0,,,,,,16,361,0,39,22.6,420
70,Jaymar Johnson,MIN,25,,6,0,16,134,0,24,8.4,,,,,,143
71,Mark Jones,TEN,29,,3,0,3,23,0,15,7.7,13,264,0,27,20.3,296
72,Quinten Lawrence,KAN,25,wr,6,1,,,,,,16,317,0,29,19.8,368
73,Bernard Scott,CIN,25,rb,13,2,,,,,,16,504,1,96,31.5,892
74,Tramon Williams,GNB,26,cb/rcb/ss,16,10,13,135,0,45,10.4,2,26,0,24,13.0,255
75,Dantrell Savage,KAN,24,,5,0,6,36,0,19,6.0,8,160,0,29,20.0,292
76,Alphonso Smith,DEN,24,,15,0,10,47,0,21,4.7,4,75,0,23,18.8,122
77,Tyrell Sutton,CAR,23,rb,7,1,,,,,,14,302,0,32,21.6,432
78,Will Blackmon,GNB,25,,3,0,3,11,0,6,3.7,10,233,0,28,23.3,244
79,Jeremy Maclin,PHI,21,WR,15,13,6,30,0,27,5.0,7,124,0,28,17.7,920
80,Laurence Maroney,NWE,24,rb,15,5,,,,,,13,279,0,52,21.5,1135
81,Josh Morgan,SFO,24,WR,16,15,,,,,,13,367,0,76,28.2,955
82,Kenny Moore,CAR,24,wr,12,1,2,4,0,4,2.0,10,219,0,55,21.9,282
83,Brad Smith,NYJ,26,wr,13,2,2,27,0,21,13.5,10,310,1,106,31.0,607
84,Kevin Faulk,NWE,33,rb,15,7,5,31,0,15,6.2,6,144,0,32,24.0,811
85,Justin Miller,2TM,25,,2,0,,,,,,11,221,0,27,20.1,221
86,Santana Moss,WAS,30,WR,16,16,11,52,0,11,4.7,,,,,,962
87,Ben Obomanu,SEA,26,,14,0,,,,,,11,293,0,45,26.6,334
88,Matthew Slater,NWE,24,,14,0,,,,,,11,269,0,35,24.5,275
89,Micheal Spurlock,2TM,26,,6,0,3,90,1,77,30.0,8,170,0,32,21.3,263
90,Josh Wilson,SEA,24,lcb/rcb,12,12,,,,,,11,212,0,29,19.3,381
91,Kenny McKinley,DEN,22,,8,0,3,32,0,14,10.7,7,158,0,30,22.6,190
92,,,,,,,,,,,,,,,,,
93,Rashied Davis,CHI,30,,16,0,,,,,,9,114,0,22,12.7,149
94,Ahman Green,GNB,32,,8,0,,,,,,9,196,0,37,21.8,374
95,Brandon Jones,SFO,27,,8,0,9,26,0,13,2.9,,,,,,44
96,Kevin Kaesviharn,TEN,33,,13,0,9,34,0,10,3.8,,,,,,34
97,Kevin Ogletree,DAL,22,,11,0,1,0,0,0,0.0,8,166,0,32,20.8,268
98,Jalen Parmele,BAL,24,,7,0,,,,,,9,283,0,53,31.4,300
99,Javon Ringer,TEN,22,,7,0,,,,,,9,181,0,25,20.1,229
100,Correll Buckhalter,DEN,31,rb,14,7,,,,,,8,184,0,41,23.0,1066
101,Jamie Silva,IND,25,,14,0,7,32,0,7,4.6,1,19,0,19,19.0,51
102,Miles Austin*,DAL,25,WR,16,9,,,,,,7,157,0,29,22.4,1475
103,Mark Bradley,KAN,27,wr,13,6,,,,,,7,123,0,24,17.6,463
104,Yamon Figurs,2TM,26,,6,0,2,21,0,12,10.5,5,105,0,27,21.0,131
105,Glenn Martinez,HOU,28,,7,0,6,23,0,11,3.8,1,6,0,6,6.0,29
106,Mewelde Moore,PIT,27,,16,0,3,3,0,2,1.0,4,44,0,13,11.0,318
107,Ryan Mouton,TEN,23,db/rcb,14,2,6,37,0,15,6.2,1,14,0,14,14.0,51
108,Ed Reed*,BAL,31,FS,12,12,7,29,0,9,4.1,,,,,,153
109,Ahmad Bradshaw,NYG,23,rb,15,1,6,55,0,20,9.2,,,,,,1039
110,Quintin Demps,PHI,24,,9,0,,,,,,6,155,0,48,25.8,167
111,Michael Griffin,TEN,24,FS,16,15,,,,,,6,143,0,31,23.8,146
112,Peyton Hillis,DEN,23,fb,14,2,,,,,,6,134,0,24,22.3,207
113,Maurice Jones-Drew*,JAX,24,RB,16,16,2,19,0,12,9.5,4,102,0,30,25.5,1881
114,Gerard Lawson,CLE,24,,5,0,1,4,0,4,4.0,5,43,0,13,8.6,47
115,Lance Long,2TM,24,,8,1,,,,,,6,106,0,22,17.7,283
116,Robert Meachem,NOR,25,wr,16,7,,,,,,6,148,0,42,24.7,996
117,Antrel Rolle*,ARI,27,FS,15,15,6,55,0,27,9.2,,,,,,135
118,Darius Butler,NWE,23,db/lcb,14,5,,,,,,5,104,0,26,20.8,195
119,Jeff Dugan,MIN,28,te,16,4,,,,,,5,38,0,13,7.6,97
120,Sam Giguere,IND,24,,1,0,,,,,,5,122,0,36,24.4,122
121,Maurice Leggett,KAN,23,lcb,10,1,5,13,0,10,2.6,,,,,,13
122,Dwight Lowery,NYJ,23,rcb,13,5,,,,,,5,128,0,44,25.6,169
123,,,,,,,,,,,,,,,,,
124,Leodis McKelvin,BUF,24,rcb,3,3,,,,,,5,121,0,33,24.2,121
125,Delanie Walker,SFO,25,TE,16,8,,,,,,5,85,0,25,17.0,352
126,Phillip Buchanon,DET,29,RCB,13,11,4,34,0,18,8.5,,,,,,34
127,Nate Clements,SFO,30,lcb,7,6,4,38,0,12,9.5,,,,,,46
128,Kenneth Darby,STL,27,rb,16,1,,,,,,4,54,0,23,13.5,302
129,Craig Davis,SDG,24,,1,0,,,,,,4,79,0,23,19.8,135
130,Cortland Finnegan,TEN,25,cb/rcb,13,13,4,14,0,11,3.5,,,,,,208
131,Devery Henderson,NOR,27,WR,16,11,4,16,0,11,4.0,,,,,,833
132,Brandon Tate,NWE,22,wr,2,1,,,,,,4,106,0,34,26.5,117
133,Joe Burnett,PIT,23,,15,0,,,,,,3,23,0,13,7.7,23
134,David Clowney,NYJ,24,wr,13,3,,,,,,3,81,0,37,27.0,273
135,Glen Coffee,SFO,22,rb,14,2,,,,,,3,42,0,16,14.0,344
136,Antonio Cromartie,SDG,25,RCB,16,16,,,,,,3,41,0,22,13.7,58
137,Alge Crumpler,TEN,32,TE,16,14,,,,,,3,20,0,15,6.7,242
138,Lynell Hamilton,NOR,24,rb,9,1,,,,,,3,15,0,15,5.0,188
139,Jerome Harrison,CLE,26,rb,14,7,,,,,,3,55,0,39,18.3,1137
140,Brian Hartline,MIA,23,wr,16,2,,,,,,3,36,0,18,12.0,571
141,Justin Jenkins,BUF,29,,12,0,,,,,,3,45,0,19,15.0,42
142,Rashad Jennings,JAX,24,,15,0,,,,,,3,56,0,24,18.7,359
143,Jeff King,CAR,26,TE,16,15,,,,,,3,37,0,14,12.3,237
144,Jason McCourty,TEN,22,lcb/rcb,15,3,,,,,,3,72,0,27,24.0,72
145,Montell Owens,JAX,25,,16,0,,,,,,3,49,0,29,16.3,50
146,Marcel Reece,OAK,24,,2,0,,,,,,3,58,0,23,19.3,78
147,Josh Reed,BUF,29,wr,14,4,3,0,0,0,0.0,,,,,,291
148,Reggie Smith,SFO,23,,10,0,3,7,0,9,2.3,,,,,,7
149,Derek Stanley,STL,24,,2,0,3,37,0,24,12.3,,,,,,37
150,Aaron Stecker,ATL,34,,9,0,,,,,,3,54,0,21,18.0,103
151,Sam Williams,OAK,29,lb,16,2,1,0,0,0,0.0,2,11,0,7,5.5,11
152,Charles Woodson*+,GNB,33,LCB/ss,16,16,1,0,0,0,0.0,2,30,0,18,15.0,209
153,Jason Babin,PHI,29,,12,0,,,,,,2,0,0,0,0.0,0
154,,,,,,,,,,,,,,,,,
155,Billy Bajema,STL,27,te,16,5,,,,,,2,26,0,14,13.0,120
156,Kentwan Balmer,SFO,23,,11,0,,,,,,2,7,0,4,3.5,7
157,Mike Bell,NOR,26,rb,13,3,,,,,,2,45,0,28,22.5,711
158,Bernard Berrian,MIN,29,WR,16,15,2,13,0,8,6.5,,,,,,631
159,Quincy Butler,STL,26,cb/rcb,14,7,2,-2,0,0,-1.0,,,,,,-2
160,Jeff Charleston,NOR,26,,16,0,,,,,,2,11,0,11,5.5,11
161,Mike Cox,KAN,24,FB,16,10,,,,,,2,9,0,9,4.5,93
162,Brian Finneran,ATL,33,wr,10,2,,,,,,2,22,0,16,11.0,133
163,Zack Follett,DET,22,,12,0,,,,,,2,12,0,10,6.0,12
164,Earnest Graham,TAM,29,fb,13,6,,,,,,2,38,0,21,19.0,213
165,DeAngelo Hall,WAS,26,CB,13,12,2,-2,0,0,-1.0,,,,,,119
166,Spencer Havner,GNB,26,te,16,1,,,,,,2,26,0,24,13.0,138
167,Santonio Holmes,PIT,25,fl/se/WR,16,16,2,6,0,3,3.0,,,,,,1260
168,Kareem Huggins,TAM,23,,3,0,,,,,,2,52,0,30,26.0,52
169,Nate Hughes,JAX,24,,8,0,2,18,0,11,9.0,,,,,,88
170,Brandon Jackson,GNB,24,,12,0,,,,,,2,36,0,23,18.0,334
171,Vonta Leach,HOU,28,fb/rb,16,4,,,,,,2,23,0,15,11.5,178
172,Brian Leonard,CIN,25,rb,14,1,,,,,,2,38,0,24,19.0,339
173,Marcus Mason,WAS,25,,10,0,,,,,,2,31,0,18,15.5,216
174,Zach Miller,JAX,25,,14,0,,,,,,2,19,0,16,9.5,234
175,Terence Newman*,DAL,31,LCB,16,16,2,-11,0,0,-5.5,,,,,,25
176,Lousaka Polite,MIA,28,FB,16,9,,,,,,2,24,0,12,12.0,198
177,Darrelle Revis*+,NYJ,24,cb/LCB,16,16,2,5,0,3,2.5,,,,,,126
178,Brian Robison,MIN,26,,16,0,,,,,,2,7,0,7,3.5,7
179,Dante Rosario,CAR,25,TE,14,8,,,,,,2,41,0,22,20.5,354
180,Jonathan Stewart,CAR,22,rb,16,3,,,,,,2,17,0,17,8.5,1289
181,Tony Stewart,OAK,30,te,15,4,,,,,,2,19,0,11,9.5,97
182,Tiquan Underwood,JAX,22,,3,0,,,,,,2,38,0,24,19.0,38
183,Danny Ware,NYG,24,,8,0,,,,,,2,37,0,20,18.5,125
184,Leonard Weaver*+,PHI,27,fb,16,8,,,,,,2,33,0,18,16.5,496
185,,,,,,,,,,,,,,,,,
186,Jason Wright,ARI,27,,16,0,,,,,,2,27,0,18,13.5,97
187,Deon Anderson,DAL,26,FB,16,9,,,,,,1,15,0,15,15.0,20
188,Devin Aromashodu,CHI,25,wr,10,2,,,,,,1,18,0,18,18.0,316
189,Donnie Avery,STL,25,WR,16,16,,,,,,1,19,0,19,19.0,638
190,Kevin Barnes,WAS,23,,4,0,1,0,0,0,0.0,,,,,,0
191,Gary Barnidge,CAR,24,te,16,3,,,,,,1,16,0,16,16.0,258
192,Will Beatty,NYG,24,rt,16,4,,,,,,1,0,0,0,0.0,0
193,Travis Beckum,NYG,22,te,15,2,,,,,,1,3,0,3,3.0,58
194,Joe Berger,MIA,27,c,16,6,,,,,,1,13,0,13,13.0,13
195,Ladell Betts,WAS,30,rb,10,2,,,,,,1,29,0,29,29.0,418
196,Desmond Bishop,GNB,25,,16,0,,,,,,1,6,0,6,6.0,8
197,Chase Blackburn,NYG,26,lb/mlb,16,7,,,,,,1,3,0,3,3.0,27
198,Donald Brown,IND,22,rb,11,1,,,,,,1,21,0,21,21.0,471
199,John Busing,HOU,26,fs/ss,16,4,,,,,,1,0,0,0,0.0,14
200,Deon Butler,SEA,23,,16,0,,,,,,1,16,0,16,16.0,191
201,James Casey,HOU,25,,15,0,,,,,,1,0,0,0,0.0,64
202,Laveranues Coles,CIN,32,WR,16,13,,,,,,1,14,0,14,14.0,538
203,Austin Collie,IND,24,wr,16,5,,,,,,1,8,0,8,8.0,685
204,Dan Connolly,NWE,27,rg,14,4,,,,,,1,16,0,16,16.0,16
205,Terrance Copper,KAN,27,wr,15,2,,,,,,1,18,0,18,18.0,86
206,Tim Crowder,TAM,24,de,15,4,,,,,,1,11,0,11,11.0,11
207,Carey Davis,PIT,28,,6,0,,,,,,1,13,0,13,13.0,28
208,Keyunta Dawson,IND,24,de,12,2,,,,,,1,14,0,14,14.0,31
209,Evan Dietrich-Smith,GNB,23,,13,0,,,,,,1,5,0,5,5.0,5
210,Darnell Dinkins,NOR,32,te,11,3,,,,,,1,1,0,1,1.0,23
211,Kevin Dockery,NYG,25,lcb/rcb,11,3,1,0,0,0,0.0,,,,,,0
212,Dwan Edwards,BAL,28,DE,16,9,,,,,,1,14,0,14,14.0,14
213,Abram Elam,CLE,28,S,16,16,,,,,,1,0,0,0,0.0,0
214,Greg Estandia,2TM,27,,6,1,,,,,,1,9,0,9,9.0,54
215,Jerome Felton,DET,23,FB,13,8,,,,,,1,0,0,0,0.0,179
216,,,,,,,,,,,,,,,,,
217,Casey Fitzsimmons,DET,29,wr,12,1,,,,,,1,10,0,10,10.0,138
218,Mike Furrey,CLE,32,s/wr,16,4,,,,,,1,12,0,12,12.0,182
219,Samkon Gado,STL,27,,15,0,,,,,,1,23,0,23,23.0,74
220,Chris Gamble,CAR,26,LCB,16,16,1,0,0,0,0.0,,,,,,55
221,Quinton Ganther,WAS,25,rb,8,4,,,,,,1,25,0,25,25.0,325
222,Larry Grant,STL,24,,16,0,,,,,,1,14,0,14,14.0,14
223,Ahmard Hall,TEN,30,fb,16,7,,,,,,1,12,0,12,12.0,96
224,Leon Hall,CIN,25,RCB,16,16,,,,,,1,22,0,22,22.0,69
225,James Harrison*,PIT,31,ROLB,16,16,1,1,0,1,1.0,,,,,,1
226,Adam Hayward,TAM,25,lb,15,1,,,,,,1,8,0,8,8.0,8
227,Madison Hedgecock,NYG,28,FB,16,9,,,,,,1,8,0,8,8.0,31
228,Jacob Hester,SDG,24,FB,15,10,,,,,,1,9,0,9,9.0,148
229,Renaldo Hill,DEN,31,S,15,15,1,0,0,0,0.0,,,,,,18
230,Russ Hochstein,DEN,32,LG/rg/te,15,10,,,,,,1,6,0,6,6.0,6
231,Israel Idonije,CHI,29,,15,0,,,,,,1,0,0,0,0.0,0
232,Adam Jennings,DET,27,,1,0,,,,,,1,8,0,8,8.0,8
233,Tim Jennings,IND,26,db/lcb/rcb,15,5,1,0,0,0,0.0,,,,,,13
234,Gartrell Johnson,NYG,23,,10,0,,,,,,1,15,0,15,15.0,58
235,Steve Johnson,BUF,23,,5,0,,,,,,1,12,0,12,12.0,22
236,LaMont Jordan,DEN,31,,9,0,,,,,,1,6,0,6,6.0,92
237,Mike Karney,STL,28,FB,14,8,,,,,,1,10,0,10,10.0,34
238,Jimmy Kennedy,MIN,30,nt,13,1,,,,,,1,6,0,6,6.0,6
239,Spencer Larsen,DEN,25,fb,9,1,,,,,,1,13,0,13,13.0,13
240,Luke Lawton,OAK,29,fb,13,3,,,,,,1,17,0,17,17.0,48
241,Le'Ron McClain*,BAL,25,FB,16,14,,,,,,1,17,0,17,17.0,338
242,Terrence McGee,BUF,29,LCB,11,10,,,,,,1,30,0,30,30.0,33
243,Rashard Mendenhall,PIT,22,RB,16,12,,,,,,1,8,0,8,8.0,1377
244,William Middleton,JAX,23,,12,0,1,0,0,0,0.0,,,,,,0
245,Lance Moore,NOR,26,,7,0,1,0,0,0,0.0,,,,,,153
246,Hakeem Nicks,NYG,21,wr,14,6,,,,,,1,16,0,16,16.0,814
247,,,,,,,,,,,,,,,,,
248,Moran Norris,SFO,31,fb,16,7,,,,,,1,0,0,0,0.0,72
249,Jerious Norwood,ATL,26,rb,10,4,,,,,,1,39,0,39,39.0,479
250,Xavier Omon,BUF,24,,5,0,,,,,,1,26,0,26,26.0,48
251,Tyler Polumbus,DEN,24,RT,15,8,,,,,,1,0,0,0,0.0,0
252,Richard Quinn,DEN,23,,15,0,,,,,,1,19,0,19,19.0,19
253,Nick Reed,SEA,22,,16,0,,,,,,1,3,0,3,3.0,84
254,Sidney Rice*,MIN,23,WR,16,14,,,,,,1,0,0,0,0.0,1312
255,David Roach,STL,24,,15,0,1,0,0,0,0.0,,,,,,0
256,DelJuan Robinson,HOU,25,rcb,11,0,,,,,,1,0,0,0,0.0,0
257,Gijon Robinson,IND,25,RB,13,10,,,,,,1,10,0,10,10.0,72
258,Geoff Schwartz,CAR,23,rt,16,3,,,,,,1,16,0,16,16.0,16
259,Mike Sellers,WAS,34,fb,15,7,,,,,,1,13,0,13,13.0,189
260,Darren Sharper*+,NOR,34,FS,14,14,1,6,0,6,6.0,,,,,,382
261,Alex Smith,PHI,27,te,16,5,,,,,,1,4,0,4,4.0,29
262,Eric Smith,NYJ,26,s/ss,16,4,,,,,,1,9,0,9,9.0,36
263,Matt Spaeth,PIT,26,fb/te,16,8,,,,,,1,1,0,1,1.0,26
264,Isaiah Stanback,NWE,25,wr,6,2,,,,,,1,22,0,22,22.0,44
265,Scott Starks,JAX,26,,5,0,1,0,0,0,0.0,,,,,,0
266,Craig Stevens,TEN,25,te,12,2,,,,,,1,14,0,14,14.0,14
267,Maurice Stovall,TAM,24,wr,15,7,,,,,,1,20,0,20,20.0,386
268,Andy Studebaker,KAN,24,lolb,16,2,,,,,,1,8,0,8,8.0,104
269,Jonathan Stupar,BUF,25,te,14,2,,,,,,1,11,0,11,11.0,51
270,Naufahu Tahi,MIN,28,fb,15,2,,,,,,1,0,0,0,0.0,72
271,Marcus Thomas,DEN,24,,16,0,,,,,,1,1,0,1,1.0,1
272,Pierre Thomas,NOR,25,rb,14,6,,,,,,1,19,0,19,19.0,1114
273,Greg Toler,ARI,24,,13,0,1,0,0,0,0.0,,,,,,0
274,Reggie Torbor,MIA,28,lb,16,2,,,,,,1,9,0,9,9.0,9
275,Jason Trusnik,2TM,25,,16,10,,,,,,1,9,0,9,9.0,9
276,Robert Turner,NYJ,25,fb/te,13,2,,,,,,1,6,0,6,6.0,6
277,Steve Vallos,SEA,26,c/lg,16,3,,,,,,1,0,0,0,0.0,-18
278,,,,,,,,,,,,,,,,,
279,Lawrence Vickers,CLE,26,FB,16,9,,,,,,1,0,0,0,0.0,27
280,Javon Walker,OAK,31,,3,0,1,0,0,0,0.0,,,,,,0
281,Mike Wallace,PIT,23,wr,16,4,,,,,,1,26,0,26,26.0,830
282,Kevin Walter,HOU,28,WR,14,14,,,,,,1,0,0,0,0.0,637
283,Corey Webster,NYG,27,LCB,13,13,1,8,0,8,8.0,,,,,,8
284,Byron Westbrook,WAS,24,cb,15,1,1,0,0,0,0.0,,,,,,0
285,Ernest Wilford,JAX,30,te,15,7,,,,,,1,0,0,0,0.0,123
286,Chris Wilson,WAS,27,,16,0,,,,,,1,8,0,8,8.0,8
287,Kris Wilson,SDG,28,,16,0,,,,,,1,13,0,13,13.0,41
288,Danny Woodhead,NYJ,24,,10,0,,,,,,1,16,0,16,16.0,167
289,Keith Zinger,ATL,25,te,15,2,,,,,,1,7,0,7,7.0,7
